Name,Email,Location,Job Title,Job Type,Education,Years of Experience,Employment Type,Practice Size,Area Type,Need Sponsorship,English Proficiency,Annual Salary,Daily Rate,Daily Rate Details,% Production,Details on % Production,% Collection,Details on % Collection,Signing Bonus,Relocation Bonus
Mr. Ryan Jensen,eadams@example.net,"Los Angeles, CA",Orthodontist,Private Practice,DDS,6,Full-time,Small,Rural,True,Basic,97329.4,357.83,Draw,20.0,The production details,10.0,,5000.0,4000.0
Christopher Rodriguez,hodgeashley@example.org,"New York, NY",Endodontist,Private Practice,DDS with Specialization,15,Part-time,Small,Rural,True,Fluent,141886.05,521.64,Guaranteed,,,,,5000.0,2000.0
Heidi English,aaron96@example.com,"Houston, TX",Pedodontist,DSO,DDS,16,Contract,Small,Urban,True,Native,91272.02,335.56,Guaranteed,,,,The collection details,10000.0,4000.0
Joshua Johnson,pgriffin@example.org,"Phoenix, AZ",Endodontist,Private Practice,DDS,8,Temporary,Large,Urban,False,Native,128488.56,472.38,Draw - Term Less than 1 year,50.0,,20.0,,15000.0,4000.0
Valerie Miles,harrisdaniel@example.net,"Houston, TX",Periodontist,DSO,DDS,26,Full-time,Medium,Rural,False,Fluent,112667.53,414.22,Guaranteed,40.0,The production details,50.0,,10000.0,6000.0
Lisa Webb,laura87@example.net,"New York, NY",Endodontist,DSO,DDS with Specialization,7,Full-time,Medium,Rural,True,Fluent,107024.71,393.47,Draw,30.0,,20.0,,5000.0,6000.0
Kelly Hudson,zoconnor@example.com,"Houston, TX",Periodontist,DSO,DMD with Specialization,4,Temporary,Medium,Rural,False,Fluent,95640.17,351.62,Draw - Term More than 1 year,20.0,,50.0,,,6000.0
Monique Little,douglaspatterson@example.org,"Los Angeles, CA",Pedodontist,Private Practice,DDS with Specialization,26,Full-time,Small,Rural,False,Native,92932.44,341.66,Draw - Term Less than 1 year,20.0,,,The collection details,10000.0,
David Lara,jenniferbrown@example.net,"Los Angeles, CA",Endodontist,DSO,DDS,26,Full-time,Large,Urban,True,Proficient,112122.28,412.21,Draw - Term Less than 1 year,10.0,,,,5000.0,2000.0
Ann Young,jameslewis@example.com,"Los Angeles, CA",Orthodontist,Private Practice,DDS,7,Part-time,Small,Rural,False,Native,90456.06,332.56,Draw - Term More than 1 year,15.0,,30.0,,10000.0,6000.0
Dylan Harrison,xpatterson@example.net,"Los Angeles, CA",Periodontist,Private Practice,DDS with Specialization,2,Part-time,Medium,Rural,True,Basic,110449.2,406.06,Draw - Term Less than 1 year,20.0,,,,15000.0,2000.0
Jesse Evans,lamalexandria@example.net,"Chicago, IL",Periodontist,DSO,DMD,25,Part-time,Large,Rural,False,Basic,87109.73,320.26,Guaranteed,,,,The collection details,,4000.0
Perry Manning,richard67@example.org,"Houston, TX",Endodontist,DSO,DDS,14,Full-time,Large,Rural,False,Proficient,132848.35,488.41,Draw - Term Less than 1 year,,The production details,15.0,,10000.0,4000.0
Christopher Ballard,ucannon@example.com,"Houston, TX",Periodontist,Private Practice,DMD,29,Contract,Large,Urban,True,Fluent,105421.94,387.58,Draw,15.0,,20.0,The collection details,10000.0,2000.0
Brian Bowman,leonardnelson@example.net,"New York, NY",Orthodontist,Private Practice,DMD,25,Contract,Large,Urban,False,Native,120934.92,444.61,Draw,30.0,,,The collection details,10000.0,2000.0
Victoria Williams,sdoyle@example.net,"Phoenix, AZ",General Dentist,DSO,DMD with Specialization,9,Contract,Small,Urban,True,Native,115096.2,423.15,Guaranteed,50.0,The production details,20.0,The collection details,10000.0,
Kyle Mitchell,edward35@example.org,"Phoenix, AZ",Orthodontist,Private Practice,DDS with Specialization,1,Contract,Large,Rural,True,Native,136480.67,501.77,Draw - Term More than 1 year,50.0,The production details,,,5000.0,6000.0
Heather Lowe,figueroakari@example.org,"Los Angeles, CA",General Dentist,DSO,DDS with Specialization,23,Contract,Small,Rural,False,Fluent,103833.65,381.74,Draw - Term Less than 1 year,50.0,,10.0,,5000.0,4000.0
Emily Edwards,mcguireanthony@example.net,"Phoenix, AZ",Orthodontist,DSO,DMD,16,Contract,Large,Rural,True,Basic,128450.12,472.24,Guaranteed,,,25.0,,10000.0,4000.0
Stacy Stanley,justinmoore@example.com,"Phoenix, AZ",Orthodontist,Private Practice,DMD with Specialization,28,Full-time,Large,Urban,False,Native,139487.7,512.82,Draw,30.0,The production details,25.0,The collection details,15000.0,
Jeffrey Myers,savannah23@example.org,"Houston, TX",Endodontist,DSO,DMD,6,Temporary,Small,Rural,True,Fluent,81305.51,298.92,Draw - Term Less than 1 year,,,10.0,The collection details,,2000.0
Jeffrey Franklin,jessicacollins@example.org,"New York, NY",Endodontist,Private Practice,DDS,29,Part-time,Large,Rural,False,Proficient,126276.87,464.25,Draw - Term More than 1 year,10.0,,,,15000.0,6000.0
Curtis Ryan,vangmelissa@example.org,"New York, NY",Endodontist,Private Practice,DDS,22,Contract,Medium,Rural,False,Proficient,111056.26,408.3,Draw,20.0,,20.0,The collection details,5000.0,4000.0
Alexander Pena,brookebailey@example.com,"Phoenix, AZ",Orthodontist,Private Practice,DMD with Specialization,3,Temporary,Large,Rural,False,Fluent,114273.06,420.12,Guaranteed,15.0,The production details,,,15000.0,4000.0
Megan Williams,morgan47@example.com,"New York, NY",General Dentist,DSO,DMD,6,Temporary,Small,Rural,False,Basic,112566.72,413.85,Draw - Term More than 1 year,,,10.0,,,4000.0
Nicholas Lewis,kyleellis@example.net,"Chicago, IL",General Dentist,DSO,DMD,20,Contract,Small,Rural,False,Basic,142377.2,523.45,Draw - Term More than 1 year,,,50.0,,10000.0,
Danielle Buckley,dcrane@example.com,"Houston, TX",Pedodontist,Private Practice,DDS,14,Temporary,Small,Urban,True,Native,145201.28,533.83,Draw - Term Less than 1 year,,,20.0,,5000.0,4000.0
Gabrielle Alvarez,hudsonamy@example.org,"New York, NY",Pedodontist,Private Practice,DDS,30,Full-time,Medium,Rural,True,Proficient,138213.19,508.14,Guaranteed,20.0,The production details,30.0,The collection details,15000.0,2000.0
Rose Shannon,xspencer@example.net,"Chicago, IL",General Dentist,DSO,DMD,24,Part-time,Medium,Urban,False,Proficient,98952.23,363.79,Draw - Term Less than 1 year,20.0,The production details,25.0,,5000.0,4000.0
Randy Leonard,uwood@example.net,"Houston, TX",Periodontist,DSO,DMD,0,Full-time,Large,Rural,True,Proficient,89151.4,327.76,Draw - Term More than 1 year,,,30.0,,5000.0,6000.0
Barbara Martin,whitedavid@example.org,"New York, NY",Orthodontist,DSO,DMD,17,Full-time,Large,Urban,True,Fluent,90553.32,332.92,Draw - Term Less than 1 year,,The production details,30.0,,5000.0,
Cynthia Miller,thomas84@example.com,"New York, NY",Pedodontist,Private Practice,DMD with Specialization,19,Temporary,Small,Rural,True,Native,134159.7,493.23,Draw,20.0,,30.0,The collection details,15000.0,6000.0
Sara Stokes,evansharry@example.org,"Houston, TX",Periodontist,DSO,DDS,25,Temporary,Medium,Urban,False,Fluent,118463.49,435.53,Draw - Term Less than 1 year,40.0,,10.0,,15000.0,4000.0
John Johnson,opowell@example.com,"Los Angeles, CA",General Dentist,Private Practice,DDS with Specialization,19,Contract,Large,Urban,False,Basic,140898.22,518.01,Draw - Term More than 1 year,50.0,,,The collection details,15000.0,
Jessica Wade,caleb49@example.net,"Houston, TX",General Dentist,DSO,DDS,20,Contract,Large,Rural,False,Basic,104236.49,383.22,Guaranteed,20.0,,,,10000.0,4000.0
Brian Figueroa,tinaewing@example.net,"Phoenix, AZ",Pedodontist,DSO,DMD with Specialization,10,Part-time,Small,Urban,False,Native,81062.77,298.02,Guaranteed,,,15.0,,15000.0,
Danny Elliott,melaniewong@example.org,"New York, NY",Endodontist,DSO,DMD,25,Contract,Large,Rural,False,Native,113977.21,419.03,Draw,15.0,The production details,25.0,The collection details,10000.0,2000.0
Jennifer Gomez,markvang@example.net,"Los Angeles, CA",General Dentist,DSO,DMD with Specialization,13,Full-time,Large,Urban,True,Proficient,123925.83,455.61,Guaranteed,,,20.0,,15000.0,2000.0
Whitney Robinson,lisa99@example.net,"Chicago, IL",Periodontist,DSO,DMD,30,Full-time,Medium,Rural,True,Fluent,119925.77,440.9,Guaranteed,10.0,,10.0,The collection details,,
Loretta Keller,pittmanjerry@example.org,"Phoenix, AZ",Pedodontist,DSO,DDS,30,Temporary,Small,Urban,True,Proficient,128621.02,472.87,Draw - Term Less than 1 year,,,50.0,,15000.0,
Jennifer Stephenson,hbowers@example.net,"Phoenix, AZ",Pedodontist,DSO,DMD with Specialization,20,Temporary,Small,Urban,False,Native,100373.59,369.02,Draw - Term Less than 1 year,30.0,,40.0,,,4000.0
Alexander Jacobs,jacksonjohn@example.org,"Phoenix, AZ",Pedodontist,DSO,DDS,17,Temporary,Medium,Rural,True,Native,120695.79,443.73,Guaranteed,40.0,The production details,10.0,The collection details,,4000.0
Jessica Velazquez,courtneybaker@example.com,"New York, NY",Endodontist,DSO,DMD,16,Temporary,Large,Urban,True,Basic,121422.75,446.41,Draw - Term More than 1 year,20.0,,,The collection details,,6000.0
Marie Mosley,uwhite@example.net,"Phoenix, AZ",Orthodontist,Private Practice,DDS with Specialization,0,Contract,Small,Urban,False,Proficient,128962.45,474.13,Draw - Term More than 1 year,30.0,The production details,50.0,The collection details,,6000.0
Dawn Munoz,amanda91@example.com,"New York, NY",Orthodontist,Private Practice,DMD,20,Contract,Small,Urban,True,Native,140155.33,515.28,Draw - Term More than 1 year,20.0,The production details,30.0,The collection details,15000.0,2000.0
Jennifer Diaz,comptondorothy@example.com,"Chicago, IL",Pedodontist,DSO,DDS,29,Temporary,Medium,Urban,True,Fluent,101159.48,371.91,Guaranteed,40.0,,,,5000.0,2000.0
Ruth Marshall,lindamoore@example.com,"Chicago, IL",General Dentist,DSO,DMD,11,Temporary,Small,Rural,False,Proficient,93297.39,343.01,Draw - Term More than 1 year,50.0,The production details,,,5000.0,4000.0
Eugene Ray,jasonjones@example.com,"New York, NY",Periodontist,Private Practice,DMD,4,Full-time,Large,Urban,True,Native,94589.77,347.76,Draw,40.0,,40.0,,,2000.0
Kyle Robbins,dickersonjames@example.org,"Phoenix, AZ",Pedodontist,Private Practice,DDS,18,Temporary,Small,Rural,False,Proficient,93222.64,342.73,Draw - Term Less than 1 year,30.0,,,,5000.0,2000.0
Donald Bell,lauren98@example.net,"Houston, TX",Pedodontist,DSO,DDS,16,Temporary,Large,Rural,False,Basic,100166.99,368.26,Draw - Term More than 1 year,20.0,,,,10000.0,4000.0
James Anderson,tiffanyperry@example.net,"Chicago, IL",General Dentist,DSO,DMD with Specialization,1,Contract,Small,Rural,True,Fluent,148169.18,544.74,Draw - Term More than 1 year,,The production details,,,5000.0,2000.0
Anne Hayes,ericcalhoun@example.com,"Los Angeles, CA",Endodontist,Private Practice,DMD,30,Contract,Small,Urban,False,Proficient,107562.67,395.45,Draw,25.0,,,,,
Leslie Dean,beardjames@example.org,"Houston, TX",Periodontist,Private Practice,DDS,30,Part-time,Large,Urban,False,Fluent,110456.09,406.09,Draw - Term More than 1 year,50.0,,30.0,,15000.0,6000.0
Katie Villarreal,qhenderson@example.com,"Phoenix, AZ",Periodontist,Private Practice,DDS with Specialization,21,Full-time,Small,Rural,True,Fluent,146494.84,538.58,Draw,,,,,10000.0,
Shelby Fisher,greenandrea@example.net,"Chicago, IL",Orthodontist,Private Practice,DDS,21,Full-time,Large,Rural,True,Native,102287.09,376.06,Draw,15.0,,,,10000.0,2000.0
Amy Gould,billy24@example.com,"Phoenix, AZ",Periodontist,DSO,DDS with Specialization,9,Temporary,Large,Urban,False,Fluent,143012.85,525.78,Draw - Term Less than 1 year,10.0,,,,10000.0,6000.0
Jenny Harris,jamessabrina@example.net,"Phoenix, AZ",General Dentist,DSO,DMD,12,Part-time,Medium,Urban,False,Basic,146831.27,539.82,Guaranteed,20.0,The production details,,,10000.0,2000.0
Stephanie Nelson,ymullen@example.net,"New York, NY",Pedodontist,Private Practice,DDS,5,Part-time,Medium,Urban,False,Proficient,123742.2,454.93,Draw - Term More than 1 year,10.0,The production details,,,10000.0,4000.0
Lindsay Carlson,ifields@example.com,"Los Angeles, CA",Periodontist,DSO,DMD,6,Full-time,Large,Urban,True,Basic,136224.91,500.83,Guaranteed,40.0,,,,5000.0,4000.0
Brenda Williams,elizabethwalters@example.com,"Chicago, IL",Pedodontist,Private Practice,DMD with Specialization,22,Part-time,Small,Urban,False,Proficient,117085.4,430.46,Draw,10.0,,10.0,,10000.0,
Tanya Perkins,veronica58@example.net,"Los Angeles, CA",General Dentist,Private Practice,DMD,14,Full-time,Small,Rural,True,Proficient,92811.19,341.22,Guaranteed,25.0,,15.0,The collection details,10000.0,
Kimberly Bond,robert47@example.com,"New York, NY",Periodontist,DSO,DMD,17,Full-time,Small,Urban,False,Native,108434.07,398.65,Draw - Term More than 1 year,50.0,The production details,25.0,The collection details,,
Karen Rivera,cherylduncan@example.org,"Houston, TX",Periodontist,DSO,DMD with Specialization,29,Contract,Medium,Urban,False,Fluent,132459.01,486.98,Draw - Term Less than 1 year,40.0,The production details,,,,
Michael Snyder,sean11@example.net,"Phoenix, AZ",Endodontist,DSO,DDS with Specialization,13,Temporary,Large,Urban,True,Proficient,86861.12,319.34,Draw - Term More than 1 year,25.0,,30.0,The collection details,,4000.0
Erika Taylor,lhess@example.org,"Chicago, IL",Endodontist,Private Practice,DDS with Specialization,30,Temporary,Medium,Rural,False,Basic,142815.43,525.06,Guaranteed,50.0,,20.0,,5000.0,6000.0
Diana Decker,johnny14@example.org,"New York, NY",Orthodontist,Private Practice,DMD with Specialization,12,Temporary,Small,Urban,False,Fluent,93985.3,345.53,Draw - Term Less than 1 year,,,,,5000.0,4000.0
Eric Kelly,wterry@example.com,"New York, NY",Endodontist,DSO,DMD,23,Contract,Small,Urban,True,Proficient,91245.91,335.46,Draw,25.0,,15.0,,15000.0,6000.0
Nicholas Blake,bradforderin@example.com,"Los Angeles, CA",General Dentist,DSO,DDS,14,Contract,Medium,Rural,True,Native,147347.32,541.72,Draw,,,15.0,,15000.0,4000.0
John Clark,ocarter@example.org,"Houston, TX",General Dentist,Private Practice,DMD with Specialization,4,Part-time,Small,Rural,False,Proficient,132614.21,487.55,Draw,,,20.0,The collection details,5000.0,2000.0
Victoria James,paigeoconnor@example.com,"Houston, TX",Orthodontist,Private Practice,DMD with Specialization,20,Part-time,Medium,Rural,False,Native,127028.56,467.02,Draw,15.0,The production details,50.0,,10000.0,6000.0
Daniel Buck,molinastacy@example.net,"New York, NY",Orthodontist,Private Practice,DDS,13,Temporary,Medium,Urban,True,Native,138810.54,510.33,Draw,10.0,,50.0,,10000.0,2000.0
Kristin Sawyer,joshuamiller@example.net,"Phoenix, AZ",Pedodontist,DSO,DDS,13,Temporary,Small,Rural,False,Proficient,101575.25,373.44,Draw - Term Less than 1 year,,The production details,,,10000.0,4000.0
Andrew Brown,klewis@example.net,"Houston, TX",Pedodontist,Private Practice,DDS with Specialization,5,Full-time,Medium,Urban,False,Native,127794.31,469.83,Draw,10.0,The production details,40.0,,10000.0,
Richard Sullivan,poolecarolyn@example.net,"New York, NY",Orthodontist,DSO,DDS,3,Temporary,Medium,Urban,True,Fluent,92470.94,339.97,Draw - Term More than 1 year,,,50.0,,,2000.0
Maurice Smith,ralphrodriguez@example.net,"Los Angeles, CA",Orthodontist,Private Practice,DDS,15,Contract,Medium,Rural,False,Native,80069.56,294.37,Guaranteed,40.0,The production details,50.0,The collection details,,
John Spears,stephaniegarcia@example.net,"Los Angeles, CA",Orthodontist,Private Practice,DMD with Specialization,5,Contract,Large,Rural,True,Proficient,102447.69,376.65,Guaranteed,25.0,,10.0,,10000.0,6000.0
Ryan Williams,leah75@example.com,"Phoenix, AZ",General Dentist,Private Practice,DDS,1,Part-time,Large,Urban,True,Native,89481.24,328.98,Draw - Term Less than 1 year,10.0,The production details,,,10000.0,
Jade Fields,william12@example.org,"Phoenix, AZ",Endodontist,DSO,DDS,22,Full-time,Medium,Urban,True,Proficient,138567.93,509.44,Draw - Term More than 1 year,50.0,The production details,50.0,The collection details,10000.0,2000.0
Tina Obrien,ohouston@example.org,"Houston, TX",Orthodontist,Private Practice,DDS with Specialization,19,Part-time,Large,Urban,True,Proficient,109210.27,401.51,Draw - Term Less than 1 year,50.0,The production details,30.0,The collection details,,
Michelle Lin,todd65@example.com,"New York, NY",Endodontist,DSO,DMD,8,Temporary,Large,Urban,False,Basic,120086.19,441.49,Draw - Term More than 1 year,40.0,The production details,30.0,,5000.0,6000.0
Debbie Wright,calebwinters@example.org,"Los Angeles, CA",Pedodontist,DSO,DDS,28,Contract,Medium,Rural,True,Proficient,117182.52,430.82,Draw,50.0,The production details,50.0,,5000.0,2000.0
Thomas Aguirre,riverachristie@example.net,"Los Angeles, CA",Endodontist,DSO,DMD with Specialization,19,Full-time,Large,Urban,False,Proficient,108978.23,400.66,Draw,,,,The collection details,10000.0,
Amanda Farmer,bwilliams@example.net,"Phoenix, AZ",Endodontist,DSO,DDS with Specialization,20,Full-time,Medium,Rural,True,Basic,130593.29,480.12,Draw,,,10.0,,10000.0,2000.0
Angela Wallace,padillajoel@example.org,"Los Angeles, CA",Endodontist,Private Practice,DMD,9,Part-time,Small,Rural,False,Native,86222.51,316.99,Draw - Term More than 1 year,40.0,The production details,50.0,,10000.0,6000.0
Matthew Johnson,kelly04@example.com,"Chicago, IL",Endodontist,Private Practice,DDS with Specialization,24,Full-time,Large,Rural,False,Native,112158.5,412.35,Draw - Term Less than 1 year,50.0,,20.0,,,2000.0
Justin Cooper,danielle79@example.org,"Houston, TX",Periodontist,Private Practice,DDS,24,Full-time,Small,Rural,True,Proficient,135160.87,496.91,Draw - Term More than 1 year,25.0,,,,10000.0,
Laura Snyder,marksnancy@example.com,"Los Angeles, CA",General Dentist,DSO,DMD,21,Full-time,Large,Rural,False,Fluent,121016.8,444.91,Draw - Term Less than 1 year,20.0,,10.0,,15000.0,4000.0
Karen Clark,mooresean@example.com,"Houston, TX",General Dentist,Private Practice,DDS,3,Contract,Medium,Rural,True,Proficient,129767.63,477.09,Guaranteed,50.0,,40.0,,10000.0,4000.0
George Barron,aperry@example.net,"Phoenix, AZ",Pedodontist,Private Practice,DDS with Specialization,16,Full-time,Small,Urban,False,Fluent,128459.93,472.28,Draw,40.0,,50.0,The collection details,5000.0,2000.0
Kristen Baldwin,athomas@example.com,"Chicago, IL",Pedodontist,Private Practice,DMD with Specialization,1,Contract,Small,Rural,True,Native,103253.83,379.61,Draw - Term More than 1 year,,,15.0,,10000.0,4000.0
Joel Taylor,ashleeolson@example.org,"Houston, TX",General Dentist,DSO,DDS with Specialization,29,Full-time,Medium,Rural,True,Basic,104491.18,384.16,Guaranteed,30.0,The production details,,,15000.0,4000.0
Joseph Kaiser,waltonmicheal@example.net,"Houston, TX",Orthodontist,DSO,DMD,16,Full-time,Large,Rural,True,Basic,93410.62,343.42,Guaranteed,,,10.0,The collection details,10000.0,6000.0
David Dickerson,pray@example.com,"Houston, TX",Orthodontist,Private Practice,DDS,8,Full-time,Small,Urban,True,Proficient,109948.75,404.22,Draw - Term More than 1 year,,,50.0,The collection details,5000.0,
